staff_id,first_name,last_name,email,phone,active,store_id,manager_id,staff_name,active_flag
1,Fabiola,Jackson,fabiola.jackson@bikes.shop,(831) 555-5554,1,1,,Fabiola Jackson,True
2,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1.0,Mireya Copeland,True
3,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,1,2.0,Genna Serrano,True
4,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,1,2.0,Virgie Wiggins,True
5,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,2,1.0,Jannette David,True
6,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,2,5.0,Marcelene Boyer,True
7,Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,1,2,5.0,Venita Daniel,True
8,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,3,1.0,Kali Vargas,True
9,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,3,7.0,Layla Terrell,True
10,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,3,7.0,Bernardine Houston,True
